time,temp_calibrated_depth_2.25m,temp_calibrated_depth_1.25m,temp_calibrated_depth_0.75m,temp_calibrated_depth_0.25m
2024-06-06 14:30:45,0.34301202793585106,0.34982105816595066,0.3433718986761566,0.3494406233833419
2024-06-06 15:00:56,0.34301202793585106,0.28732105816595066,0.2808718986761566,0.3494406233833419
2024-06-06 15:30:56,0.28051202793585106,0.28732105816595066,0.2808718986761566,0.2869406233833419
2024-06-06 16:00:56,0.21801202793585103,0.22482105816595063,0.21837189867615656,0.22444062338334195
2024-06-06 16:32:49,0.21801202793585103,0.16232105816595063,0.21837189867615656,0.22444062338334195
2024-06-06 17:00:55,0.21801202793585103,0.22482105816595063,0.21837189867615656,0.22444062338334195
2024-06-06 17:30:56,0.21801202793585103,0.22482105816595063,0.21837189867615656,0.22444062338334195
2024-06-06 18:00:56,0.15551202793585103,0.16232105816595063,0.15587189867615656,0.16194062338334195
2024-06-06 18:30:43,0.15551202793585103,0.16232105816595063,0.15587189867615656,0.16194062338334195
2024-06-06 19:00:56,0.15551202793585103,0.16232105816595063,0.15587189867615656,0.16194062338334195
2024-06-06 19:31:24,0.15551202793585103,0.09982105816595063,0.09337189867615656,0.16194062338334195
2024-06-06 20:00:54,0.15551202793585103,0.16232105816595063,0.15587189867615656,0.16194062338334195
2024-06-06 20:30:45,0.21801202793585103,0.16232105816595063,0.21837189867615656,0.22444062338334195
2024-06-06 21:00:57,0.21801202793585103,0.16232105816595063,0.15587189867615656,0.16194062338334195
2024-06-06 21:30:56,0.15551202793585103,0.16232105816595063,0.15587189867615656,0.16194062338334195
2024-06-06 22:00:56,0.15551202793585103,0.16232105816595063,0.15587189867615656,0.22444062338334195
2024-06-06 22:31:20,0.21801202793585103,0.16232105816595063,0.15587189867615656,0.16194062338334195
2024-06-06 23:00:54,0.21801202793585103,0.16232105816595063,0.21837189867615656,0.16194062338334195
2024-06-06 23:30:56,0.21801202793585103,0.22482105816595063,0.21837189867615656,0.22444062338334195
2024-06-07 00:00:56,0.21801202793585103,0.16232105816595063,0.15587189867615656,0.16194062338334195
2024-06-07 00:30:45,0.15551202793585103,0.16232105816595063,0.15587189867615656,0.16194062338334195
2024-06-07 01:00:56,0.09301202793585103,0.03732105816595063,0.09337189867615656,0.09944062338334195
2024-06-07 01:31:30,0.09301202793585103,0.03732105816595063,0.030871898676156556,0.09944062338334195
2024-06-07 02:00:54,0.09301202793585103,0.09982105816595063,0.09337189867615656,0.09944062338334195
2024-06-07 02:30:43,0.15551202793585103,0.09982105816595063,0.09337189867615656,0.09944062338334195
2024-06-07 03:00:56,0.21801202793585103,0.22482105816595063,0.21837189867615656,0.22444062338334195
2024-06-07 03:30:56,0.28051202793585106,0.28732105816595066,0.2808718986761566,0.2869406233833419
2024-06-07 04:00:56,0.34301202793585106,0.34982105816595066,0.3433718986761566,0.3494406233833419
2024-06-07 04:31:19,0.40551202793585106,0.41232105816595066,0.4058718986761566,0.4119406233833419
2024-06-07 05:00:54,0.40551202793585106,0.41232105816595066,0.4058718986761566,0.4119406233833419
2024-06-07 05:30:56,0.40551202793585106,0.41232105816595066,0.4058718986761566,0.4119406233833419
2024-06-07 06:00:56,0.40551202793585106,0.41232105816595066,0.4058718986761566,0.4119406233833419
2024-06-07 06:30:42,0.28051202793585106,0.28732105816595066,0.2808718986761566,0.2869406233833419
2024-06-07 07:00:56,0.28051202793585106,0.28732105816595066,0.2808718986761566,0.2869406233833419
2024-06-07 07:31:33,0.34301202793585106,0.28732105816595066,0.2808718986761566,0.3494406233833419
2024-06-07 08:00:54,0.28051202793585106,0.28732105816595066,0.2808718986761566,0.2869406233833419
2024-06-07 08:30:45,0.28051202793585106,0.28732105816595066,0.2808718986761566,0.2869406233833419
2024-06-07 09:00:56,0.28051202793585106,0.28732105816595066,0.2808718986761566,0.2869406233833419
2024-06-07 09:30:56,0.21801202793585103,0.22482105816595063,0.21837189867615656,0.22444062338334195
2024-06-07 10:00:56,0.21801202793585103,0.22482105816595063,0.21837189867615656,0.22444062338334195
2024-06-07 10:31:08,0.15551202793585103,0.09982105816595063,0.15587189867615656,0.16194062338334195
2024-06-07 11:00:55,0.09301202793585103,0.09982105816595063,0.09337189867615656,0.09944062338334195
2024-06-07 11:30:57,0.09301202793585103,0.09982105816595063,0.030871898676156556,0.09944062338334195
2024-06-07 12:00:56,0.15551202793585103,0.16232105816595063,0.09337189867615656,0.16194062338334195
2024-06-07 12:30:45,0.15551202793585103,0.16232105816595063,0.15587189867615656,0.16194062338334195
2024-06-07 13:00:56,0.21801202793585103,0.22482105816595063,0.21837189867615656,0.22444062338334195
2024-06-07 13:31:31,0.28051202793585106,0.28732105816595066,0.2808718986761566,0.2869406233833419
2024-06-07 14:00:55,0.46801202793585106,0.47482105816595066,0.4683718986761566,0.4744406233833419
2024-06-07 14:30:45,0.5305120279358511,0.5373210581659507,0.5308718986761566,0.5369406233833419
2024-06-07 15:00:56,0.5930120279358511,0.5373210581659507,0.5308718986761566,0.5369406233833419
2024-06-07 15:30:57,0.46801202793585106,0.47482105816595066,0.4683718986761566,0.4744406233833419
2024-06-07 16:00:56,0.5305120279358511,0.47482105816595066,0.5308718986761566,0.5369406233833419
2024-06-07 16:31:12,0.5305120279358511,0.5373210581659507,0.5308718986761566,0.5369406233833419
2024-06-07 17:00:54,0.5930120279358511,0.5373210581659507,0.5308718986761566,0.5994406233833419
2024-06-07 17:30:57,0.5930120279358511,0.5998210581659507,0.5933718986761566,0.5994406233833419
2024-06-07 18:00:56,0.5305120279358511,0.5373210581659507,0.5308718986761566,0.5369406233833419
2024-06-07 18:30:44,0.46801202793585106,0.41232105816595066,0.4058718986761566,0.4119406233833419
2024-06-07 19:00:55,0.5305120279358511,0.47482105816595066,0.4683718986761566,0.5369406233833419
2024-06-07 19:31:23,0.5305120279358511,0.5373210581659507,0.5308718986761566,0.5369406233833419
2024-06-07 20:00:54,0.46801202793585106,0.47482105816595066,0.4683718986761566,0.4744406233833419
2024-06-07 20:30:44,0.40551202793585106,0.41232105816595066,0.4058718986761566,0.4119406233833419
2024-06-07 21:00:57,0.40551202793585106,0.41232105816595066,0.4058718986761566,0.4119406233833419
2024-06-07 21:30:55,0.34301202793585106,0.28732105816595066,0.2808718986761566,0.2869406233833419
2024-06-07 22:00:56,0.21801202793585103,0.22482105816595063,0.2808718986761566,0.2869406233833419
2024-06-07 22:31:08,0.21801202793585103,0.28732105816595066,0.2808718986761566,0.3494406233833419
2024-06-07 23:00:55,0.15551202793585103,0.22482105816595063,0.3433718986761566,0.3494406233833419
2024-06-07 23:30:56,0.28051202793585106,0.34982105816595066,0.3433718986761566,0.4119406233833419
2024-06-08 00:00:56,0.34301202793585106,0.41232105816595066,0.4058718986761566,0.4744406233833419
2024-06-08 00:30:45,0.40551202793585106,0.41232105816595066,0.4683718986761566,0.4744406233833419
2024-06-08 01:00:55,0.40551202793585106,0.47482105816595066,0.5308718986761566,0.5369406233833419
2024-06-08 01:32:23,0.46801202793585106,0.47482105816595066,0.4683718986761566,0.4744406233833419
2024-06-08 02:00:53,0.34301202793585106,0.34982105816595066,0.4058718986761566,0.4744406233833419
2024-06-08 02:30:43,0.34301202793585106,0.34982105816595066,0.4683718986761566,0.4744406233833419
2024-06-08 03:00:54,0.5305120279358511,0.5373210581659507,0.4683718986761566,0.5369406233833419
2024-06-08 03:30:55,0.6555120279358511,0.6623210581659507,0.6558718986761566,0.6619406233833419
2024-06-08 04:00:54,0.6555120279358511,0.7248210581659507,0.6558718986761566,0.7244406233833419
2024-06-08 04:31:14,0.7180120279358511,0.7248210581659507,0.7183718986761566,0.7869406233833419
2024-06-08 05:00:54,0.6555120279358511,0.7873210581659507,0.8433718986761566,0.8494406233833419
2024-06-08 05:30:53,0.7180120279358511,0.5373210581659507,0.7808718986761566,1.036940623383342
2024-06-08 06:00:55,0.46801202793585106,0.5373210581659507,0.5308718986761566,1.099440623383342
2024-06-08 06:30:43,0.46801202793585106,0.5373210581659507,0.9058718986761566,1.036940623383342
2024-06-08 07:00:54,0.40551202793585106,0.5373210581659507,0.9683718986761566,1.099440623383342
2024-06-08 07:31:28,0.46801202793585106,0.6623210581659507,1.0933718986761565,1.161940623383342
2024-06-08 08:00:54,0.5930120279358511,0.6623210581659507,1.0933718986761565,1.161940623383342
2024-06-08 08:30:42,0.6555120279358511,0.7248210581659507,0.9683718986761566,1.099440623383342
2024-06-08 09:00:55,0.6555120279358511,0.8498210581659507,1.0308718986761565,1.099440623383342
2024-06-08 09:30:54,0.6555120279358511,0.9123210581659507,1.0308718986761565,1.036940623383342
2024-06-08 10:00:55,0.6555120279358511,0.9123210581659507,0.9683718986761566,0.9744406233833419
2024-06-08 10:31:09,0.7180120279358511,0.9748210581659507,1.0308718986761565,1.036940623383342
2024-06-08 11:00:54,0.7805120279358511,1.0373210581659507,1.0308718986761565,1.036940623383342
2024-06-08 11:30:55,0.8430120279358511,1.0373210581659507,1.0933718986761565,1.099440623383342
2024-06-08 12:00:55,0.8430120279358511,1.0998210581659507,1.1558718986761565,1.224440623383342
2024-06-08 12:30:44,0.6555120279358511,0.9748210581659507,1.2183718986761565,1.411940623383342
2024-06-08 13:00:56,0.6555120279358511,0.8498210581659507,1.2183718986761565,1.536940623383342
2024-06-08 13:31:31,0.5930120279358511,0.9748210581659507,1.4058718986761565,1.724440623383342
2024-06-08 14:00:56,0.5930120279358511,0.7248210581659507,1.0933718986761565,1.974440623383342
2024-06-08 14:30:46,0.5930120279358511,0.9748210581659507,1.7183718986761565,2.036940623383342
2024-06-08 15:00:55,0.6555120279358511,0.9748210581659507,1.9683718986761565,2.224440623383342
2024-06-08 15:30:56,1.968012027935851,2.5998210581659507,2.7183718986761565,2.724440623383342
2024-06-08 16:00:55,1.343012027935851,2.5998210581659507,2.8433718986761565,2.849440623383342
2024-06-08 16:31:06,1.280512027935851,1.5998210581659507,1.8433718986761565,2.536940623383342
2024-06-08 17:00:54,1.155512027935851,1.4748210581659507,1.7183718986761565,1.974440623383342
2024-06-08 17:30:55,1.093012027935851,1.4748210581659507,1.7183718986761565,1.849440623383342
2024-06-08 18:00:55,0.9055120279358511,1.2248210581659507,1.5308718986761565,1.974440623383342
2024-06-08 18:30:44,0.9680120279358511,0.9748210581659507,1.2183718986761565,1.661940623383342
2024-06-08 19:00:55,0.9055120279358511,0.9748210581659507,1.0308718986761565,1.036940623383342
2024-06-08 19:32:27,0.9055120279358511,0.9123210581659507,0.9058718986761566,0.9119406233833419
2024-06-08 20:00:55,0.7805120279358511,0.8498210581659507,0.8433718986761566,0.8494406233833419
2024-06-08 20:30:44,0.8430120279358511,0.9123210581659507,0.9683718986761566,0.9744406233833419
2024-06-08 21:00:55,0.8430120279358511,0.8498210581659507,0.8433718986761566,0.8494406233833419
2024-06-08 21:30:55,0.6555120279358511,0.6623210581659507,0.6558718986761566,0.6619406233833419
2024-06-08 22:00:55,0.5305120279358511,0.5373210581659507,0.5308718986761566,0.5369406233833419
2024-06-08 22:31:09,0.46801202793585106,0.47482105816595066,0.4683718986761566,0.4744406233833419
2024-06-08 23:00:54,0.40551202793585106,0.41232105816595066,0.4058718986761566,0.4119406233833419
2024-06-08 23:30:55,0.40551202793585106,0.34982105816595066,0.4058718986761566,0.4119406233833419
